run,generation,degenerate,holistic,other,compositional,popsize,turnover_rounds,group_rounds
9,0,0.9987713554999793,1.4267839920713722e-08,0.0012266915175253483,1.938714656782331e-06,25,20,20
9,1,0.8149480023494382,1.3697888698330367e-05,0.18481696650295398,0.0002213332589174509,25,20,20
9,2,0.7570454468984716,1.2362181115972081e-05,0.2427440196604378,0.00019817125997813337,25,20,20
9,3,0.5208266553257013,0.0006724999212556893,0.4782515720742764,0.0002492726787603206,25,20,20
9,4,0.3539692338552766,0.0006324725858109279,0.622107955943188,0.023290337615722464,25,20,20
9,5,0.28962846242469864,0.00018017560446781958,0.7100624315277103,0.0001289304431156262,25,20,20
9,6,0.23376165050057107,0.004272932405922584,0.7618186109214481,0.0001468061720474253,25,20,20
9,7,0.1600757727179763,6.684590702528625e-05,0.835452340302255,0.004405041072738566,25,20,20
9,8,0.2042325265149639,0.01799458541189427,0.7731762827067632,0.004596605366379402,25,20,20
9,9,0.2476460978617927,3.559373333654638e-05,0.7427883753634091,0.009529933041463434,25,20,20
9,10,0.1891849661724251,2.288532250884163e-05,0.8049384711547136,0.00585367735035203,25,20,20
9,11,0.17207339931473845,0.0012365821481560531,0.8173659788270449,0.00932403971006531,25,20,20
9,12,0.08148135532575534,0.021577157264982213,0.8829257038825585,0.014015783526700942,25,20,20
9,13,0.09248893697895792,0.07284841358605466,0.8187356630436482,0.015926986391338434,25,20,20
9,14,0.13288685242166468,0.039433960188476426,0.8136626464304457,0.014016540959411728,25,20,20
9,15,0.09485826624720745,0.04627651196640761,0.848520491551228,0.010344730235155038,25,20,20
9,16,0.11606427455193538,0.0819162966332906,0.7902716345252755,0.011747794289494996,25,20,20
9,17,0.11477553041439577,0.08081170883688844,0.795313076032189,0.009099684716523393,25,20,20
9,18,0.051301480505744235,0.1650309703179956,0.783667384485682,1.6469057720535732e-07,25,20,20
9,19,0.026809871413340493,0.1316183251895765,0.8415687415604275,3.061836654511033e-06,25,20,20
9,20,0.022068724238646486,0.1581774591130837,0.8197508968304734,2.919817794436603e-06,25,20,20
9,21,0.0010533742948312002,0.20973957992925726,0.7892070278141537,1.7961757794020266e-08,25,20,20
9,22,0.04051246609993926,0.22181551417666068,0.737672002450604,1.7272796466713718e-08,25,20,20
9,23,0.006549797738611187,0.2108647876820303,0.7825834249847747,1.9895945864530174e-06,25,20,20
9,24,0.0009362377534038397,0.22578027929774247,0.7732833540350795,1.2891377301061426e-07,25,20,20
9,25,0.0008840290259179225,0.3244338690016468,0.6746819797191546,1.222532798155446e-07,25,20,20
9,26,0.0009681451040194727,0.4515736424581431,0.5474580785415737,1.3389626216185274e-07,25,20,20
9,27,0.0008132846865941494,0.5251308628410478,0.4704942796532071,0.003561572819149735,25,20,20
9,28,2.463710376523346e-11,0.6503709672156869,0.3496290326047391,1.5493702652065e-10,25,20,20
9,29,2.6793284329712185e-08,0.7234637572808209,0.2765362042267961,1.1699098853365017e-08,25,20,20
9,30,1.13873750865101e-09,0.901296703323114,0.09870329538149795,1.5665027221823185e-10,25,20,20
9,31,2.0612199712681712e-10,0.9700094191768103,0.029990580615340892,1.7268770806176498e-12,25,20,20
9,32,1.9787711857892812e-10,0.9712086318672566,0.02879136793320704,1.6595139869774377e-12,25,20,20
9,33,1.813360962682373e-14,0.9999865868059075,1.3413193958262972e-05,1.16104090341646e-13,25,20,20
9,34,1.3680010640692321e-12,0.9292865871652758,0.07071341270444069,1.2891579662005933e-10,25,20,20
9,35,2.2636152211160397e-13,0.9999864343052841,1.3565694384549051e-05,1.0515632851601856e-13,25,20,20
9,36,2.7989574180896825e-16,0.9999901055607778,9.894439218340025e-06,3.566628029370142e-15,25,20,20
9,37,6.257893175741122e-16,0.9981672557286441,0.0018327442654687276,5.886713243044615e-12,25,20,20
9,38,1.6803874854173139e-15,0.9653197884380563,0.03468021155552144,6.420470228351808e-12,25,20,20
9,39,1.2258325921455389e-08,0.9355630072718822,0.0644369749553729,5.51441889291058e-09,25,20,20
9,40,1.1277659847738958e-08,0.9407180930515869,0.05928189059748781,5.073265381477734e-09,25,20,20
9,41,4.403009683169528e-15,0.9992442008603004,0.0007557991333799695,6.315302176245664e-12,25,20,20
9,42,1.2022652913716673e-13,0.9092347709144016,0.09076522908231573,3.1619745746793947e-12,25,20,20
9,43,5.4911091803824493e-11,0.9686778034930477,0.03132219644586616,6.175139188437841e-12,25,20,20
9,44,2.3620786068637e-13,0.9993457626293065,0.0006542373702454065,2.120121233634343e-13,25,20,20
9,45,8.534609867344359e-13,0.9983430904004037,0.0016568919942399705,1.760450275684187e-08,25,20,20
9,46,8.850574246975545e-13,0.998307255294646,0.001692726372232783,1.8332236030440353e-08,25,20,20
9,47,9.235396357536134e-13,0.9982330874573286,0.0017668934124561264,1.912929163175252e-08,25,20,20
9,48,9.696606547564562e-13,0.9968703202339253,0.0031296597663017,1.9998803007616943e-08,25,20,20
9,49,1.343395766219928e-11,0.9828349774517472,0.01716502252867866,6.1402298538155486e-12,25,20,20
9,50,9.971573506693023e-10,0.9185496385222304,0.08142990772141594,2.0452759196467076e-05,25,20,20
9,51,9.02490412717049e-10,0.9504694172124329,0.04951183329935477,1.874858572200371e-05,25,20,20
9,52,9.016280335559079e-10,0.9535391537056771,0.04644209681258155,1.8748580113418786e-05,25,20,20
9,53,9.016280335544047e-10,0.9535469422002505,0.04643430831800793,1.8748580113418237e-05,25,20,20
9,54,8.65345662637662e-10,0.9554282231373142,0.04455377736052877,1.799863681135358e-05,25,20,20
9,55,9.403672714973623e-10,0.953420826505839,0.04655960914783969,1.9563405953897257e-05,25,20,20
9,56,8.651381580822463e-10,0.9571241862637773,0.04285781453760691,1.7998333477644966e-05,25,20,20
9,57,9.403675631328765e-10,0.9698284083533416,0.030152027300338058,1.9563405952804706e-05,25,20,20
