run,generation,degenerate,holistic,other,compositional,popsize,turnover_rounds,group_rounds
9,0,0.9987713554999793,1.4267839920713722e-08,0.0012266915175253483,1.938714656782331e-06,25,20,0
9,1,0.9987713554999793,1.4267839920713722e-08,0.0012266915175253483,1.938714656782331e-06,25,20,0
9,2,0.675662439108403,6.780583157559197e-06,0.3234379680795154,0.0008928122289059234,25,20,0
9,3,0.6792012439459648,6.842691127290893e-06,0.3201599130263987,0.0006320003365061647,25,20,0
9,4,0.5896465123786863,4.76119289346567e-06,0.40856618003215095,0.0017825463962634516,25,20,0
9,5,0.4996327580441605,3.847698454738078e-08,0.49851608084496185,0.0018511226338895797,25,20,0
9,6,0.4570361182175226,3.175001655552849e-06,0.5428813125640395,7.939421677576005e-05,25,20,0
9,7,0.6062161953698209,7.880925537243248e-05,0.39362339069695795,8.160467784607295e-05,25,20,0
9,8,0.510447924697013,0.00035797032735975594,0.4888311429922025,0.00036296198342256536,25,20,0
9,9,0.41221097606110896,0.01411345871509822,0.573462218865258,0.00021334635853266536,25,20,0
9,10,0.45311661845895257,0.02488752758983754,0.4850411165923873,0.03695473735882161,25,20,0
9,11,0.37030436415758594,0.03825341547199868,0.5517873884081641,0.03965483196225111,25,20,0
9,12,0.2871504806095624,0.0008717325296873775,0.6572341891425464,0.054743597718198075,25,20,0
9,13,0.3913200824979681,9.487830861174102e-05,0.55386675551086,0.05471828368256364,25,20,0
9,14,0.5246964299503659,1.3141325890430994e-05,0.4352440923889783,0.04004633633476315,25,20,0
9,15,0.3692176779692587,2.6066795941677386e-06,0.59085905359082,0.03992066176032544,25,20,0
9,16,0.28632223157241454,3.73912029952037e-05,0.6731910900764869,0.04044928714810167,25,20,0
9,17,0.25482301397723833,3.8918108272015915e-05,0.7016875314336697,0.043450536480820146,25,20,0
9,18,0.3611089246416792,0.0014735734617589953,0.5943364952736009,0.04308100662295944,25,20,0
9,19,0.40094757664373765,0.001044438920251821,0.5578715483117239,0.040136436124283324,25,20,0
9,20,0.4374641859827105,0.0401811650202288,0.4724873722654387,0.04986727673162092,25,20,0
9,21,0.42667056979724505,0.05322863313751917,0.4613641077717364,0.05873668929349779,25,20,0
9,22,0.43555541833632794,0.015189331366664116,0.4906935144248647,0.05856173587214223,25,20,0
9,23,0.40684818274234336,3.06411264002575e-06,0.552733562434422,0.04041519071059265,25,20,0
9,24,0.4129291360921022,0.04754337247906262,0.4970213603612957,0.04250613106753739,25,20,0
9,25,0.33529044622223714,0.047560829006464245,0.5554430466028496,0.061705678168447034,25,20,0
9,26,0.23517769430094262,0.03690169455562322,0.6471985917992186,0.08072201934421652,25,20,0
9,27,0.32804197095645476,0.03688396381264128,0.544194606495772,0.09087945873512863,25,20,0
9,28,0.3503144430491644,0.03748912209003095,0.5215778335274543,0.09061860133335221,25,20,0
9,29,0.28301510337893204,0.04123013780679931,0.5924965147587834,0.0832582440554858,25,20,0
9,30,0.27806181799054086,0.05519371647095431,0.552360476154815,0.11438398938369017,25,20,0
9,31,0.24343642472981541,0.07985367962610841,0.5542322888023713,0.12247760684170156,25,20,0
9,32,0.32183210746092045,0.07936748415522693,0.4676499315146032,0.13115047686924547,25,20,0
9,33,0.34833300518600846,0.07997432150621496,0.4511175279451017,0.12057514536267072,25,20,0
9,34,0.3073156384342532,0.0541452105322123,0.5183892489921582,0.12014990204136915,25,20,0
9,35,0.28593625546746343,0.04099759875564228,0.5589037402578132,0.11416240551908091,25,20,0
9,36,0.21602173605492744,0.03930577080416283,0.6305187551528988,0.11415373798800545,25,20,0
9,37,0.2862281716076971,0.04057775743749139,0.5522053749602417,0.12098869599456526,25,20,0
9,38,0.30672032689171985,0.04048984923573323,0.5327356016687772,0.12005422220376319,25,20,0
9,39,0.3089672386559301,0.040544902855640726,0.4756401287215021,0.17484772976692245,25,20,0
9,40,0.2645406923937009,0.04087641309897707,0.5097681408949779,0.1848147536123393,25,20,0
9,41,0.30598019590124287,0.03996940059135832,0.4464378547320884,0.20761254877530866,25,20,0
9,42,0.37485329686478186,0.039987082776620796,0.33281905279421364,0.2523405675643849,25,20,0
9,43,0.3939789172595124,0.03996350039184253,0.2882883480555766,0.27776923429307027,25,20,0
9,44,0.24653805748418758,0.04028741960671765,0.44289798554034876,0.27027653736874424,25,20,0
9,45,0.2261547498342378,0.03999452027469773,0.5048867296255686,0.22896400026549524,25,20,0
9,46,0.29021783279954627,0.03998861833181261,0.429725000249896,0.24006854861874408,25,20,0
9,47,0.4112930982065817,0.04000194337327101,0.26873133123143694,0.27997362718871144,25,20,0
9,48,0.4083034180812799,0.000783538980776731,0.310994962309773,0.2799180806281702,25,20,0
9,49,0.3829718174337724,8.175840211684686e-05,0.2971008001746773,0.31984562398943206,25,20,0
9,50,0.3183337676061282,5.521885799725436e-07,0.35832328765766824,0.3233423925476221,25,20,0
9,51,0.348887320522111,7.843127036489549e-05,0.24912218550481452,0.40191206270270785,25,20,0
9,52,0.2892774924700763,0.0008510663402097583,0.3077458724613892,0.40212556872832683,25,20,0
9,53,0.32135553920976784,4.592082892774129e-05,0.2871056581578383,0.39149288180346753,25,20,0
9,54,0.3158027040123985,1.663515190388418e-05,0.24294899360075692,0.44123166723494095,25,20,0
9,55,0.29906898699077006,0.00043862075442134015,0.24404045062333732,0.45645194163147074,25,20,0
9,56,0.24193878441044592,0.0010093749002149611,0.28558026027871386,0.47147158041062553,25,20,0
9,57,0.27452555024989134,0.0006682168442066357,0.2431527780845834,0.481653454821319,25,20,0
9,58,0.3224341859338427,0.0005876491559119354,0.18677119971893924,0.4902069651913055,25,20,0
9,59,0.33573896877318743,3.97985275543052e-05,0.17684618709307795,0.48737504560618006,25,20,0
9,60,0.2707067407666897,0.038965105938641074,0.17528142986394835,0.51504672343072,25,20,0
9,61,0.28560506753542064,0.03896668736842186,0.16018973173556644,0.51523851336059,25,20,0
