,average_degree,clustering_coef,average_shortest_path,n_edges,n_nodes
0,4.0,0.45466666666666666,2.88,50,25
1,4.0,0.45466666666666666,2.88,50,25
2,3.76,0.37866666666666665,2.6866666666666665,47,25
3,3.12,0.18,2.993333333333333,39,25
4,3.04,0.07200000000000001,NaN,38,25
5,2.4347826086956523,0.04492753623188405,3.5928853754940713,28,23
6,2.380952380952381,0.11133786848072563,NaN,25,21
7,3.652173913043478,0.10776397515527951,2.3122529644268774,42,23
8,3.44,0.09561904761904762,2.5166666666666666,43,25
9,2.88,0.07733333333333334,3.02,36,25
10,2.75,0.0998015873015873,2.8405797101449277,33,24
11,3.130434782608696,0.17163561076604553,2.6284584980237153,36,23
12,3.130434782608696,0.050724637681159424,2.6047430830039526,36,23
13,2.9166666666666665,0.13657407407407407,2.782608695652174,35,24
14,2.761904761904762,0.0365079365079365,2.7666666666666666,29,21
15,2.8181818181818183,0.17835497835497835,2.9567099567099566,31,22
16,2.8333333333333335,0.026488095238095238,2.8768115942028984,34,24
17,2.761904761904762,0.06190476190476191,2.8380952380952382,29,21
18,2.72,0.05723809523809524,2.81,34,25
19,2.9523809523809526,0.10612244897959185,2.4714285714285715,31,21
20,3.5238095238095237,0.18125472411186697,2.2904761904761903,37,21
21,3.4782608695652173,0.12919254658385093,2.4782608695652173,40,23
22,3.36,0.12050793650793651,2.63,42,25
23,3.36,0.13247619047619047,2.5766666666666667,42,25
24,3.619047619047619,0.22309145880574452,2.2333333333333334,38,21
25,4.166666666666667,0.28134920634920635,2.2318840579710146,50,24
26,4.0,0.29238095238095235,2.4166666666666665,50,25
27,3.4782608695652173,0.10579710144927536,NaN,40,23
28,3.36,0.21631746031746032,2.533333333333333,42,25
29,2.75,0.10648148148148147,2.778985507246377,33,24
30,2.9166666666666665,0.06686507936507936,2.7246376811594204,35,24
31,2.5,0.1503968253968254,3.4347826086956523,30,24
32,3.0,0.18908730158730158,3.0579710144927534,36,24
33,3.28,0.16257142857142856,2.5766666666666667,41,25
34,3.652173913043478,0.14575569358178053,2.3043478260869565,42,23
35,3.5,0.22215608465608463,2.4239130434782608,42,24
36,3.3636363636363638,0.12002164502164502,2.398268398268398,37,22
37,3.68,0.15066666666666667,2.4433333333333334,46,25
38,3.76,0.13047619047619047,2.37,47,25
39,4.0,0.16445105820105818,2.260869565217391,48,24
40,4.0,0.18429232804232806,2.2246376811594204,48,24
41,3.4166666666666665,0.1011574074074074,2.4456521739130435,41,24
42,3.36,0.07304761904761904,2.4766666666666666,42,25
43,2.96,0.1218095238095238,NaN,37,25
44,3.789473684210526,0.18571428571428572,2.1578947368421053,36,19
45,3.44,0.15276190476190477,2.46,43,25
46,3.8181818181818183,0.13008658008658008,2.272727272727273,42,22
47,3.3333333333333335,0.06924603174603174,2.4746376811594204,40,24
48,3.1666666666666665,0.025793650793650796,2.4782608695652173,38,24
49,2.8,0.12038095238095238,2.743333333333333,35,25
50,3.1818181818181817,0.10119047619047619,2.515151515151515,35,22
51,3.2,0.1953333333333333,2.5933333333333333,40,25
52,3.217391304347826,0.04554865424430642,2.549407114624506,37,23
53,3.3333333333333335,0.20072751322751323,2.4818840579710146,40,24
54,3.4782608695652173,0.12518978605935127,2.343873517786561,40,23
55,3.130434782608696,0.09296066252587991,2.541501976284585,36,23
56,3.739130434782609,0.04824016563146998,2.33596837944664,43,23
57,3.68,0.07447619047619047,2.51,46,25
58,3.1666666666666665,0.07539682539682539,2.822463768115942,38,24
59,2.88,0.07161904761904761,2.9066666666666667,36,25
60,3.5833333333333335,0.1830357142857143,2.489130434782609,43,24
61,3.4782608695652173,0.2588336783988958,2.5177865612648223,40,23
62,3.217391304347826,0.10414078674948239,2.644268774703557,37,23
63,3.0833333333333335,0.14732142857142858,2.7427536231884058,37,24
64,3.0833333333333335,0.06825396825396825,2.652173913043478,37,24
65,3.12,0.10161904761904761,2.743333333333333,39,25
66,3.1666666666666665,0.14503968253968255,2.630434782608696,38,24
67,3.2,0.16038095238095237,2.6466666666666665,40,25
68,3.68,0.2693333333333333,2.4,46,25
69,3.5652173913043477,0.2363008971704624,2.4347826086956523,41,23
70,3.44,0.2804126984126984,2.52,43,25
71,3.5833333333333335,0.2113095238095238,2.496376811594203,43,24
72,3.6,0.21466666666666664,2.5233333333333334,45,25
73,3.25,0.14444444444444446,2.5471014492753623,39,24
74,3.5,0.14444444444444446,2.579710144927536,42,24
75,3.04,0.029333333333333333,2.6933333333333334,38,25
76,3.130434782608696,0.0494824016563147,2.5968379446640317,36,23
77,2.8181818181818183,0.14696969696969697,2.779220779220779,31,22
78,2.72,0.16704761904761906,2.933333333333333,34,25
79,3.0833333333333335,0.1767857142857143,2.681159420289855,37,24
80,3.0,0.11567460317460317,2.8043478260869565,36,24
81,2.9523809523809526,0.20215419501133786,NaN,31,21
82,3.391304347826087,0.17246376811594202,2.513833992094862,39,23
83,3.7142857142857144,0.15873015873015872,2.3904761904761904,39,21
84,3.68,0.18771428571428572,2.55,46,25
85,3.52,0.1483809523809524,2.55,44,25
86,3.0833333333333335,0.04722222222222222,2.6847826086956523,37,24
87,2.6666666666666665,0.05277777777777778,3.0615942028985508,32,24
88,2.4347826086956523,0.1468599033816425,3.110671936758893,28,23
89,2.4347826086956523,0.21207729468599032,3.0316205533596836,28,23
90,2.4545454545454546,0.0501082251082251,3.0,27,22
91,2.6666666666666665,0.3320861678004535,2.780952380952381,28,21
92,3.04,0.3561904761904762,2.9066666666666667,38,25
93,2.75,0.08154761904761905,2.9818840579710146,33,24
94,2.761904761904762,0.16825396825396824,2.7523809523809524,29,21
95,2.72,0.1401904761904762,3.09,34,25
96,3.1578947368421053,0.16791979949874686,2.3216374269005846,30,19
97,3.3043478260869565,0.1792270531400966,2.6047430830039526,38,23
98,3.68,0.13063492063492063,2.61,46,25
99,3.25,0.10654761904761904,2.7971014492753623,39,24
100,2.9565217391304346,0.0463768115942029,NaN,34,23
101,2.75,0.03611111111111111,3.221014492753623,33,24
102,3.1666666666666665,0.16646825396825396,2.5942028985507246,38,24
103,3.28,0.18323809523809523,2.6366666666666667,41,25
104,3.6363636363636362,0.20165945165945168,2.2164502164502164,40,22
105,3.2,0.2716190476190476,2.6233333333333335,40,25
106,3.0,0.23538359788359786,NaN,36,24
107,2.96,0.11923809523809524,2.83,37,25
