run,generation,degenerate,holistic,other,compositional,popsize,turnover_rounds,group_rounds
49,0,0.9987713554999793,1.4267839920713722e-08,0.0012266915175253483,1.938714656782331e-06,25,20,20
49,1,0.7660478172966033,2.6473721685369317e-08,0.2177957437532295,0.016156412476436816,25,20,20
49,2,0.6898102090975681,0.03958311700420376,0.26709008868297734,0.0035165852152453797,25,20,20
49,3,0.4956367774827706,0.0021924794122619366,0.49905183011271165,0.0031189129922587493,25,20,20
49,4,0.34744066914285116,0.0010725330338307848,0.606588370614896,0.04489842720842493,25,20,20
49,5,0.34383305618107635,0.0010708712907825909,0.5703427727944098,0.08475329973372904,25,20,20
49,6,0.264642215083536,0.00107091209967941,0.5803002836972081,0.15398658911957452,25,20,20
49,7,0.1727591039608004,0.0011640002798072985,0.7356333858701368,0.09044350988925394,25,20,20
49,8,0.124796946464318,0.001070876043888066,0.7178151017444478,0.15631707574734335,25,20,20
49,9,0.14167731801661712,6.507431234244028e-08,0.6636960361174361,0.19462658079163336,25,20,20
49,10,0.10896874584739424,1.1905623530543157e-07,0.6282462412134969,0.26278489388287446,25,20,20
49,11,0.1149378076613949,9.102662421017436e-08,0.5126273049122638,0.37243479639971755,25,20,20
49,12,0.04496869273045835,9.186593573643034e-08,0.46965273636385496,0.48537847903975123,25,20,20
49,13,0.04157651444392301,8.75376890472329e-12,0.3285036352535654,0.6299198502937573,25,20,20
49,14,6.444979122535252e-05,9.902989493653914e-12,0.38567077688076046,0.6142647733181106,25,20,20
49,15,6.444572087733441e-05,8.186141258732759e-12,0.2904337268497703,0.7095018274211659,25,20,20
49,16,7.004969660058881e-05,8.897814516511728e-12,0.3540880820250009,0.6458418682695004,25,20,20
49,17,6.584628361960433e-05,3.701082427921881e-07,0.41763373585388813,0.5823000477542488,25,20,20
49,18,1.2113785655490317e-16,2.350020992318505e-13,0.3091503171773162,0.6908496828224486,25,20,20
49,19,0.0005334536021656804,5.169850212910853e-12,0.3139170470561008,0.6855494993365641,25,20,20
49,20,0.0005577014932606025,1.529481706030525e-09,0.21295138386576754,0.78649091311149,25,20,20
49,21,0.03422047739927938,7.046517598760727e-10,0.18800074166143185,0.7777787802346366,25,20,20
49,22,0.034220477245472246,7.046471472756915e-10,0.13517186934947387,0.8306076527004067,25,20,20
49,23,0.06912396988278595,6.999959856434214e-10,0.141939071500383,0.7889369579168348,25,20,20
49,24,0.03517487064056075,7.303539419335965e-10,0.04936343443244867,0.9154616941966366,25,20,20
49,25,4.2691424255363276e-14,7.291698637979554e-10,0.0450123109918948,0.9549876882788925,25,20,20
49,26,3.987991826618636e-15,8.630831566143562e-15,0.035423543646037746,0.9645764563539497,25,20,20
49,27,3.987991826618636e-15,8.630831566143562e-15,0.035423543637415206,0.9645764563625723,25,20,20
49,28,8.147471837834218e-16,4.442540370333172e-15,0.00026653334756891967,0.999733466652426,25,20,20
49,29,1.8330171163909268e-17,2.458504438243111e-16,0.00029667481725871846,0.9997033251827411,25,20,20
49,30,9.292620669177805e-16,2.6588615904415335e-13,1.8927001915838133e-06,0.9999981072995416,25,20,20
49,31,1.7974749977489025e-15,2.7055028454820417e-13,9.075382606345966e-06,0.9999909246171214,25,20,20
