run,generation,degenerate,holistic,other,compositional,popsize,turnover_rounds,group_rounds
30,0,0.9987713554999793,1.4267839920713722e-08,0.0012266915175253483,1.938714656782331e-06,25,20,20
30,1,0.7469565651784283,0.037032752131819294,0.21600559781738607,5.084872372113334e-06,25,20,20
30,2,0.5554403230477579,0.12070294899281984,0.3238486417098499,8.086249576008802e-06,25,20,20
30,3,0.4206526659918914,0.08083547263538295,0.49850443846585707,7.422906870225295e-06,25,20,20
30,4,0.2541027644801663,0.14156759932835208,0.6033317537118394,0.0009978824796419775,25,20,20
30,5,0.32337802629554907,0.10156777496466532,0.5740146679010634,0.0010395308387224308,25,20,20
30,6,0.2721838966775415,0.09092524319317609,0.6368824407839704,8.419345313397629e-06,25,20,20
30,7,0.3516506308854645,0.04350136851476632,0.6047642938815236,8.370671824576405e-05,25,20,20
30,8,0.33464969252082205,0.13517244540448026,0.5301778557661255,6.308571764219803e-09,25,20,20
30,9,0.3183984577026085,0.17390144788049253,0.507700086734618,7.68228146857194e-09,25,20,20
30,10,0.22396470093700313,0.16971581073187508,0.6063164916626368,2.996668486457232e-06,25,20,20
30,11,0.1582471936907245,0.13512062550440326,0.6653550231461898,0.04127715765868358,25,20,20
30,12,0.0939178628390789,0.18228550127773324,0.6787672954659144,0.04502934041727421,25,20,20
30,13,0.04728951752391746,0.19690989937009928,0.7127271298042644,0.04307345330171794,25,20,20
30,14,0.03232712096072628,0.25885479981035947,0.6657446194747291,0.04307345975418453,25,20,20
30,15,0.00014617536492780603,0.3325873952934024,0.6259880653223674,0.041278364019303064,25,20,20
30,16,0.04005660859117058,0.39813489547903297,0.5618082632776641,2.3265213144909987e-07,25,20,20
30,17,0.04159120439403311,0.453663782902229,0.5047449852421143,2.7461623186721793e-08,25,20,20
30,18,0.04159120439492749,0.5423580234485524,0.41605074436834527,2.7788174705911057e-08,25,20,20
30,19,0.033582465626970565,0.5600752095173916,0.4063422981789899,2.6676647717674616e-08,25,20,20
30,20,1.1002592981645258e-05,0.6672013021084301,0.33278769483632786,4.6226008396381244e-10,25,20,20
30,21,6.859497091892949e-17,0.8393672577152128,0.160632742212603,7.218411856177523e-11,25,20,20
30,22,1.9469265588909677e-20,0.8326818881993746,0.16731811180060277,2.2689149312377632e-14,25,20,20
30,23,5.322652978002064e-14,0.9060078666881066,0.09399213329495332,1.688688395546329e-11,25,20,20
30,24,1.998259849261915e-11,0.8804429815378083,0.1195569896588719,2.878333737848369e-08,25,20,20
30,25,2.081520676314495e-11,0.9171148306387612,0.0828851393577806,2.998264310258718e-08,25,20,20
30,26,2.3541458921495638e-11,0.9073203898244587,0.09267957588612384,3.426587588040608e-08,25,20,20
30,27,2.060717987278193e-11,0.8993549794185668,0.10064499057792754,2.9982898589961464e-08,25,20,20
30,28,5.6584579746514725e-14,0.9422318259226629,0.05776817405731467,1.9966184500477895e-11,25,20,20
